0,0
0,0
0,0
0,0
0,1
1,1.5
2.5,0.95
3.45,-0.125
3.325,-0.8225
2.5025,-1.6913
0.81125,-1.5176
-0.70638,-0.40681
-1.1132,0.68619
-0.42699,0.9511
0.5241,0.37187
0.89597,-0.40415
0.49183,-0.70921
-0.21738,-0.38968
-0.60706,0.1758
-0.43126,0.48659
0.055333,0.34548
0.40081,-0.04403
0.35678,-0.32053
0.036252,-0.28537
-0.24912,-0.028972
-0.27809,0.19931
-0.07878,0.22248
0.1437,0.063028
0.20673,-0.11496
0.091769,-0.16538
-0.073611,-0.073415
-0.14703,0.058889
-0.088137,0.11762
0.029484,0.07051
0.099993,-0.023587
0.076406,-0.079995
-0.0035882,-0.061125
-0.064713,0.0028706
-0.061843,0.051771
-0.010072,0.049474
0.039402,0.0080577
0.04746,-0.031522
0.015938,-0.037968
-0.02203,-0.01275
-0.03478,0.017624
-0.017156,0.027824
0.010668,0.013725
0.024393,-0.0085342
0.015859,-0.019514
-0.0036556,-0.012687
-0.016343,0.0029245
0,0
0,0
0,0
0,1
1,0.5
1.5,-0.55
0.95,-1.075
-0.125,-0.6975
-0.8225,-0.86875
-1.6913,0.17363
-1.5176,1.1108
-0.40681,1.093
0.68619,0.2649
0.9511,-0.57923
0.37187,-0.77601
-0.40415,-0.30506
-0.70921,0.31953
-0.38968,0.56548
0.1758,0.3108
0.48659,-0.14111
0.34548,-0.38951
-0.04403,-0.2765
-0.32053,0.035165
-0.28537,0.2564
-0.028972,0.22828
0.19931,0.02317
0.22248,-0.15945
0.063028,-0.17798
-0.11496,-0.050423
-0.16538,0.091965
-0.073415,0.1323
0.058889,0.058732
0.11762,-0.047111
0.07051,-0.094097
-0.023587,-0.056408
-0.079995,0.01887
-0.061125,0.063996
0.0028706,0.0489
0.051771,-0.0022965
0.049474,-0.041417
0.0080577,-0.039579
-0.031522,-0.0064461
-0.037968,0.025217
-0.01275,0.030374
0.017624,0.0102
0.027824,-0.014099
0.013725,-0.022259
-0.0085342,-0.01098
-0.019514,0.0068274
-0.012687,0.015611
0.0029245,0.01015
